,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21
X11,-0.40561563219500846,-0.1956773544304092,0.17490587477231384,0.16527037609284478,0.0018810612879378518,0.44557457604345624,0.7671716506809944,0.7513499795373393,0.6781426549171768,0.34718568379917386,1.0,0.8081622296117412,0.6344848408216532,0.06250282741278938,0.6237282369620624,0.3322038793962905,0.11899859860336301,-0.19159998202798353,0.12901951168570805,0.07640756505860818,-0.00829622450402111,0.35246077586717395,0.347555911669741,0.17466227486231548,-0.14785307297939457,-0.3265156872269094,0.15738620681304838,-0.10137586445033961,0.025656686473174064,0.08553585211816656,-0.06559425449616137,-0.396839929776059,-0.29155847791492,-0.21016382550755894,-0.24067337513018797,-0.45227170451015775,-0.32363500050368477,-0.22376848518304976,-0.28661005978586146,-0.40683733505719416,-0.30649528805965304,-0.22555678366864007
X12,-0.4037636062454749,-0.19835404050228053,0.17777197264272068,0.30738927346402484,0.19351581425879255,0.08154493703107307,0.4531724236400371,0.5852953827365688,0.5992364005249142,-0.011769112608511054,0.8081622296117412,1.0,0.9524911039105443,-0.1636179954954261,0.5672695911816379,0.5253397985799373,0.37046187180210177,-0.2599431426914174,0.15099311662961543,0.16566912604234663,0.0802161189896283,0.21441581147548985,0.22674472449881053,0.09173730958730217,-0.15808471509091981,-0.3014800905393573,-0.008489169142591773,-0.1902500655083884,0.05232912566369653,0.1744873992314247,-0.21071253109562985,-0.42368959482034824,-0.22158230622992703,-0.09541991001338077,-0.3622546779667762,-0.5142702929261815,-0.39042548528998633,-0.2628198706626365,-0.38805330635649515,-0.47881281123105907,-0.39490596080823354,-0.30198636438971266
X13,-0.3851017733407408,-0.22273728083702637,0.10929074182597244,0.2976937720682693,0.2361584554142488,-0.04329047917760858,0.29876615316785055,0.46234079646299936,0.5116152400569585,-0.11373135379204038,0.6344848408216532,0.9524911039105443,1.0,-0.20706777771045348,0.4442741758410203,0.4780519145590649,0.39404062935477596,-0.24594975110344755,0.10953063801495704,0.13352048805346314,0.0762182082005034,0.15869444698663543,0.1910911442705178,0.09601363910494305,-0.1171782532915818,-0.25555816526013353,-0.0402708348106779,-0.20722616465686047,0.03955191800111889,0.18093224122072404,-0.2348510505670928,-0.4023248876701194,-0.17043264236195557,-0.026796701341763148,-0.38651177821177624,-0.5142676348721195,-0.3989727997295366,-0.26379162023172914,-0.41988614671424596,-0.49873918697707365,-0.42809194226287495,-0.33426423968416125
X14,0.6063721665541348,0.3753915401936918,-0.11039043583376443,-0.5193014045402689,-0.5304307821486568,0.40627752334433964,-0.0546989043141952,-0.2783638624038506,-0.3753010700722575,0.8009109452216986,0.06250282741278938,-0.1636179954954261,-0.20706777771045348,1.0,0.3455379092722996,0.16893105865490649,0.1735152974596711,0.8844033675935195,0.4919927178801341,0.290588836121224,0.2367655152238648,-0.23396514087798068,-0.3287731964799223,-0.3109012031077104,-0.13111890493966058,0.047764067479260285,-0.11164177260360153,0.08665100581700819,0.06104173573523222,0.03999201041379207,0.07706609462848847,0.25991463937030956,0.1046813152327819,0.009613415455124088,0.21117396042709302,0.3079288591254249,0.16963013200909435,0.0673692815479969,0.2412091705952958,0.3356104511437359,0.24365107432217695,0.15951755705078674
X15,-0.08105769366187283,-0.14472197042851523,-0.1618880906954228,-0.059317746008632384,-0.029193112711524406,-0.07201067697307201,0.12203268339650578,0.15942195062187803,0.14695748633962533,0.14905912224140572,0.6237282369620624,0.5672695911816379,0.4442741758410203,0.3455379092722996,1.0,0.8140146185515431,0.6088257171517261,0.38331441317897025,0.8028650968663418,0.6887847040917707,0.5287356435792894,-0.18412895605249843,-0.21737360367007624,-0.2228477564509522,-0.177985970748678,-0.1444321613123034,-0.15142322125090363,0.033112801796542475,0.17354364452935092,0.21191351008060325,-0.17826253476612489,0.0017722463238440524,0.013144755211069505,0.02829642577467446,-0.19443402450009162,-0.027641564943880707,-0.04482141222699366,-0.048682999176194446,-0.19412827366122257,-0.03483193025237114,-0.025473653007053475,-0.030434621147554318
X16,0.06086888768259095,0.05457387455734585,0.014997193034463414,0.07384743437951712,0.07347795735397461,-0.2578002975587704,-0.12897321434566947,-0.019432254426774955,0.013638348774653638,-0.0829833020071429,0.3322038793962905,0.5253397985799373,0.4780519145590649,0.16893105865490649,0.8140146185515431,1.0,0.9328975195719311,0.3089577564770761,0.7357078955855368,0.7745678952388648,0.6739349737062804,-0.2053742679216653,-0.30131973544176416,-0.3621405776336902,-0.27156190483360726,-0.18885487326624129,-0.32599007022592225,-0.14998389001459725,0.06704566055846725,0.17250679725819018,-0.26629970602872205,-0.09729121289440355,-0.027988177567752532,0.03466499896154157,-0.1913805204229455,-0.038748523415552995,0.0009250184251700537,0.05616591441068077,-0.12685810255636548,-0.009801877772761872,-0.007273655792135262,0.004979720119170426
X17,0.15003669848197043,0.12754933171485153,0.031090151331729984,0.06045285659829494,0.07700159559746504,-0.27587571011953915,-0.2398761280515223,-0.1287521153459297,-0.07524411248994382,-0.09762417092838066,0.11899859860336301,0.37046187180210177,0.39404062935477596,0.1735152974596711,0.6088257171517261,0.9328975195719311,1.0,0.3383497637572096,0.6292537824735676,0.7037051007171281,0.6678709589374323,-0.1774840329737677,-0.29820497389354705,-0.36909792486801474,-0.26400394586880727,-0.17480702728202333,-0.3370725174450847,-0.21342773583831692,-0.027939595015794395,0.1002003229868562,-0.23359085600262533,-0.12598916993897127,-0.06790107643407056,0.01387098959636879,-0.12784353521197586,-0.026813060836001563,0.016402128202360054,0.09884617741041374,-0.05031924969814764,0.014670808581191904,-0.011862188091957231,0.00010740775286691525
X18,0.6254435123820724,0.2738189424403059,-0.3332558751357921,-0.5558715503393404,-0.42609714023643097,-0.03652619842545901,-0.4296848526188883,-0.5442116619721413,-0.5675065080138293,0.4385639882273083,-0.19159998202798353,-0.2599431426914174,-0.24594975110344755,0.8844033675935195,0.38331441317897025,0.3089577564770761,0.3383497637572096,1.0,0.7116578744227768,0.5175248138730917,0.4506481839879159,-0.4699138889816549,-0.5326554902414403,-0.38178398401049435,-0.01598504686485276,0.22795903983184637,-0.21222161262004013,0.17285079434794523,0.1040829196643927,0.057909839308525765,0.033427925046257134,0.4333099326147502,0.22109346768919252,0.10352212689890077,0.21574501244338393,0.46320159881269196,0.2340524732529346,0.09129514711979694,0.25929945134722704,0.4683954080756343,0.3269757074725687,0.21428224781724714
X19,0.22013003827416414,-0.040192681863512644,-0.4048678222077445,-0.36146079007278636,-0.20975693422029626,-0.340746558447115,-0.3360351620356409,-0.30430394104105873,-0.2858344860684454,0.034928120222077086,0.12901951168570805,0.15099311662961543,0.10953063801495704,0.4919927178801341,0.8028650968663418,0.7357078955855368,0.6292537824735676,0.7116578744227768,1.0,0.9105786248747807,0.7917541379600953,-0.46578117575924294,-0.490931493195743,-0.35045717351381955,-0.04390037301753723,0.11366876332032502,-0.2655521393565098,0.11216100879282187,0.11665298542993341,0.10878022166777146,-0.149709957792612,0.25487506442044533,0.13068269664506518,0.08592169884429275,-0.04552190364853929,0.26798739861467535,0.12005199218612253,0.03829741115105545,-0.005932285093493852,0.2849815569118266,0.25584362675963657,0.2176625096289552
X20,0.16016106636771751,-0.011089865852988403,-0.29049477520744776,-0.2731770039181512,-0.17428931126144503,-0.3758605509251249,-0.32092499996204626,-0.2786475787916501,-0.26665743891720317,-0.10126503632124347,0.07640756505860818,0.16566912604234663,0.13352048805346314,0.290588836121224,0.6887847040917707,0.7745678952388648,0.7037051007171281,0.5175248138730917,0.9105786248747807,1.0,0.9608263289054861,-0.362926955210897,-0.3878762104339114,-0.28394647430214903,-0.023320694689015365,0.0855232564418772,-0.2641563186323877,0.0015381988617004414,-0.027120109584746598,-0.009179033449378853,-0.17436370026686793,0.10713222332298046,0.0052014734020631925,0.004926053169301525,-0.0737785912203618,0.16850342056737683,0.08187784421439706,0.05199485482951041,-0.014711389391083915,0.2227336929535708,0.26247036509987887,0.28542820523957413
