Ay,Dolar,Euro,Altın,Petrol,Beton,Demir,Fiyat,Son Güncelleme Tarihi,Konut Tipi,Mahalle, Net M2,Oda , Salon Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Eşya Durumu,Banyo Sayısı,Cephe,Kira Getirisi,Kullanım Durumu,Aidat,Yakıt Tipi
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.450.000 TL,2024-02-17,Daire,Orta,80.0,2.0,1.0,3. Kat,28 Yaşında,Belirtilmemiş,Eşyalı Değil,1,"Kuzey, Güney, Doğu, Batı",10.000 TL,,10 TL,Kömür-Odun
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,9.600.000 TL,2024-01-29,Villa,Kardeşköy,300.0,6.0,1.0,3. Kat,2 Yaşında,Merkezi,Eşyalı Değil,4,"Kuzey, Güney, Doğu, Batı",35.000 TL,Mülk Sahibi,300 TL,Kömür-Odun
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.650.000 TL,2024-02-05,Daire,Efeler,65.0,2.0,0.0,5. Kat,4 Yaşında,Kombi,Eşyalı,1,"Kuzey, Güney",,Kiracılı,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.750.000 TL,2024-02-19,Daire,Orta,70.0,2.0,1.0,3. Kat,8 Yaşında,Merkezi,Eşyalı Değil,1,"Doğu, Batı",8.000 TL,Boş,200 TL,Kömür-Odun
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.700.000 TL,2024-02-12,Daire,Adnan Menderes,125.0,3.0,1.0,2. Kat,23 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney, Batı",,Mülk Sahibi,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.700.000 TL,2024-02-23,Daire,Fatih,135.0,3.0,1.0,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,1,,,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.250.000 TL,2024-02-08,Daire,Fatih,155.0,3.0,1.0,Ara Kat,10 Yaşında,Kombi,Eşyalı Değil,2,"Güney, Doğu",,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.200.000 TL,2024-02-16,Daire,Efeler,200.0,6.0,1.0,4. Kat,5 Yaşında,Kombi,Eşyalı Değil,2,,,Kiracılı,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.750.000 TL,2024-02-25,Daire,Ata,110.0,3.0,1.0,1. Kat,18 Yaşında,Klima,Eşyalı Değil,1,"Kuzey, Güney, Doğu",8.000 TL,Kiracılı,75 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.800.000 TL,2024-02-17,Daire,Güzelhisar,67.0,2.0,1.0,Zemin,2 Yaşında,Kombi,Eşyalı Değil,1,Kuzey,,Kiracılı,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.500.000 TL,2024-02-09,Daire,Güzelhisar,140.0,3.0,1.0,7. Kat,26 Yaşında,Kombi,Eşyalı Değil,1,Kuzey,,Kiracılı,100 TL,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.950.000 TL,2024-02-19,Daire,Cumhuriyet,115.0,3.0,1.0,Ara Kat,25 Yaşında,Kombi,Eşyalı Değil,1,Doğu,10.000 TL,Mülk Sahibi,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.000.000 TL,2024-02-12,Daire,Efeler,140.0,3.0,1.0,1. Kat,10 Yaşında,Kombi,Eşyalı Değil,2,,17.000 TL,Mülk Sahibi,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.200.000 TL,2024-02-12,Daire,Cumhuriyet,160.0,3.0,1.0,8. Kat,16 Yaşında,Kombi,Eşyalı Değil,2,"Güney, Batı",,Kiracılı,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,6.300.000 TL,2024-02-22,Daire,Mimar Sinan,330.0,4.0,1.0,En Üst Kat,10 Yaşında,Kombi,Eşyalı Değil,2,"Güney, Doğu",25.000 TL,Mülk Sahibi,300 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.000.000 TL,2024-01-05,Daire,Zafer,60.0,1.0,1.0,Bahçe Katı,30 Yaşında,Merkezi,Eşyalı,1,"Güney, Doğu",8.000 TL,Kiracılı,400 TL,Kömür-Odun
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.700.000 TL,2024-01-07,Daire,Girne,160.0,3.0,1.0,3. Kat,12 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Doğu",25.000 TL,Mülk Sahibi,200 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.750.000 TL,2024-02-25,Daire,Kurtuluş,170.0,3.0,1.0,7. Kat,30 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Doğu",20.000 TL,Mülk Sahibi,300 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.350.000 TL,2024-02-22,Daire,Ata,140.0,3.0,1.0,2. Kat,2 Yaşında,Kombi,Eşyalı Değil,1,"Doğu, Batı",,Boş,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.100.000 TL,2024-02-06,Daire,Adnan Menderes,100.0,2.0,1.0,2. Kat,5 Yaşında,Kombi,Eşyalı Değil,1,,,Belirtilmemiş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.300.000 TL,2024-02-19,Daire,Fatih,158.0,3.0,1.0,1. Kat,2 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Güney, Doğu, Batı",25.000 TL,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.250.000 TL,2024-02-23,Daire,Girne,100.0,3.0,1.0,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,2,,,Boş,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.750.000 TL,2024-02-07,Daire,Hasanefendi - Ramazan Paşa,70.0,1.0,1.0,1. Kat,8 Yaşında,Kombi,Eşyalı,1,"Kuzey, Güney",1.800 TL,Kiracılı,75 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.100.000 TL,2024-01-29,Daire,Girne,135.0,3.0,1.0,3. Kat,5 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Güney, Doğu, Batı",,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,5.950.000 TL,2024-02-10,Daire,Girne,196.0,4.0,1.0,3. Kat,11 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,2,"Kuzey, Güney, Batı",,Kiracılı,500 TL,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.150.000 TL,2024-02-13,Daire,Cumhuriyet,155.0,3.0,1.0,Giriş Katı,30 Yaşında,Isıtma Yok,Eşyalı Değil,1,Batı,,Boş,,Elektrik
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.470.000 TL,2024-01-21,Daire,Orta,45.0,1.0,1.0,5. Kat,6 Yaşında,Klima,Eşyalı,1,Kuzey,9.000 TL,Boş,,Elektrik
